"Date","X1","X2","X3","X4","X5","X6","Europe","Month","MonthDate"
1979-01-31,NA,NA,NA,NA,NA,NA,NA,1,"1979-01"
1979-02-28,NA,NA,NA,NA,NA,NA,NA,2,"1979-02"
1979-03-31,NA,NA,NA,NA,NA,NA,NA,3,"1979-03"
1979-04-30,NA,NA,NA,NA,NA,NA,NA,4,"1979-04"
1979-05-31,NA,NA,NA,NA,NA,NA,NA,5,"1979-05"
1979-06-30,NA,NA,NA,NA,NA,NA,NA,6,"1979-06"
1979-07-31,0.0380057282710858,0.0443664762828891,0.140918199939968,0.0722568724471492,0.211405239082195,0.350741425583093,0.139386797725884,7,"1979-07"
1979-08-31,0.0245103478192687,0.212715622651869,0.127567896603409,0.0567558177846828,0.295831484993298,0.284757306715347,0.17241354506277,8,"1979-08"
1979-09-30,0.0664365746026178,0.277782555889671,0.0429279222529904,0.0920094156025807,0.335231662690684,0.199059778377513,0.184420348458393,9,"1979-09"
1979-10-31,0.158844209534842,0.0398695732549086,0.034198673767951,0.118129198473345,0.342068353023495,0.0547883640812755,0.143090823945048,10,"1979-10"
1979-11-30,0.122230807597803,0.0573444302429015,0.111631922928874,0.0302023544424723,0.209749589696298,0.0363750148760852,0.102842265833445,11,"1979-11"
1979-12-31,0.00480962414183104,0.0937512291562819,0.106315816944975,0.0237131831641085,0.0842187243166704,0.0748351575011549,0.0625646199182302,12,"1979-12"
1980-01-31,0.0241075504992415,0.102810879273688,0.0407819565448588,0.0205427247653893,0.174257603210772,0.0409492092302024,0.0752840578097366,1,"1980-01"
1980-02-28,0.10755727859207,0.0873167904274435,0.105407422899445,0.148438557000384,0.232529803884312,0.0432500382420814,0.127900634994208,2,"1980-02"
1980-03-31,0.219525206926292,0.0769488512908083,0.326970674746198,0.00972638852309768,0.231272457725387,0.0241569311138126,0.149343407607974,3,"1980-03"
1980-04-30,0.122631641843334,0.26077385101854,0.402146506600085,0,0.174420829664299,0.0125530202643205,0.156009345795832,4,"1980-04"
1980-05-31,0.401445630612264,0.0827052534395767,0.647343439489595,0.0330956021278608,0.0581763264499841,0.023295013072241,0.186606318840803,5,"1980-05"
1980-06-30,0.293984446484834,0.0297119456989445,0.697485595360159,0.0393150730385481,0.16174471098401,0.0534464780220348,0.189621889582003,6,"1980-06"
1980-07-31,0.211492395087141,0.0104794736489695,0.876542532545021,0.0302255792912308,0.0770921605192245,0.109801029728316,0.177836953672417,7,"1980-07"
1980-08-31,0.0795812974526381,0.0112492964604271,0.853196834333162,0.0234159264367593,0.0443045808591734,0.0866285443210897,0.137785674715839,8,"1980-08"
1980-09-30,0.062460716336877,0.169598381519538,0.841475890990426,0.053716532171255,0.0266234854542497,0.193284787601421,0.177681052351888,9,"1980-09"
1980-10-31,0.0117435948171793,0.27216834691344,0.756138788528,0.0354329784587885,0.0263590349873905,0.493685678397101,0.217760124871487,10,"1980-10"
1980-11-30,0.0109481349891223,0.239600230672364,0.685405296716951,0.0886920736473922,0.00976455514657661,0.368253261358741,0.189733448388944,11,"1980-11"
1980-12-31,0.0201912345538886,0.308757290061437,0.513318146633748,0.011815887838642,0.00521094798090658,0.222661267406249,0.151626977210189,12,"1980-12"
1981-01-31,0.0240926906239027,0.406058485133189,0.0758239386679132,0.00894810878110007,0.00175844999999951,0.0954332762548231,0.101899277910485,1,"1981-01"
1981-02-28,0.0370825152438004,0.453108935119495,0.0324547043509638,0.00372526637687714,0.0114976923765363,0.109869720468125,0.1116449857609,2,"1981-02"
1981-03-31,0.00685862665466694,0.406765942682748,0.0206152913344054,0.00140904723498933,0.00175844999999951,0.0684250780231051,0.0875032835061657,3,"1981-03"
1981-04-30,0.0889603700123931,0.366628052942654,0.0114566213682931,0.0270756632220406,0.0333559576943395,0.0409736492276159,0.10216170144506,4,"1981-04"
1981-05-31,0.0465026114303583,0.428136667742791,0.0163598303629822,0.0921077849582499,0.0893572919613391,0.0163146612436703,0.123679617974441,5,"1981-05"
1981-06-30,0.0189438410842381,0.356722283203938,0.000995707787233128,0.187257493178628,0.113644230790023,0.0108143011167543,0.122088507426379,6,"1981-06"
1981-07-31,0.0357107072424402,0.180989917999319,0.031164180148985,0.236297131965805,0.320656391476591,0.100311609814878,0.163003421846166,7,"1981-07"
1981-08-31,0.0304159467050912,0.17893513882153,0.0428511703826117,0.264965904101592,0.267402524460932,0.1466532646652,0.162015875870624,8,"1981-08"
1981-09-30,0.062660980640408,0.181825379459089,0.0530343186988693,0.191457201078621,0.357380211359236,0.153657687783156,0.180249408201016,9,"1981-09"
1981-10-31,0.0105734517681317,0.440417596950974,0.125479608145658,0.151504064585343,0.266843263780711,0.132265997511193,0.195647617181485,10,"1981-10"
1981-11-30,0.00587195802356414,0.655390200023663,0.104247797867289,0.0930844893227733,0.129316842802325,0.0652215860055829,0.182446071261831,11,"1981-11"
1981-12-31,0.0160092436697526,0.385555204957405,0.129082802763841,0.0321897819333524,0.0325109704538956,0.0687284780942507,0.108789858854607,12,"1981-12"
1982-01-31,0.031303090804573,0.351826713514943,0.152559045800057,0.0397862188492963,0.0203055150169405,0.0725804695875687,0.107283205843683,1,"1982-01"
1982-02-28,0.0376271908880222,0.33203070970156,0.183966089003704,0.0365817003511525,0.0270777560315872,0.128280471609146,0.117571480518696,2,"1982-02"
1982-03-31,0.0106364895282871,0.335323346077739,0.0834426117924883,0.021784540338172,0.0485847593861748,0.0776068290369638,0.09696955028407,3,"1982-03"
1982-04-30,0.105752214802551,0.233492639048113,0.0504810813904221,0.0389570599203225,0.0113805452023125,0.0199845772844147,0.0795956405353534,4,"1982-04"
1982-05-31,0.105237399712629,0.0967663021113678,0.000995707787233128,0.078451767323477,0.0256070239103683,0.0394991794489268,0.0611138596217802,5,"1982-05"
1982-06-30,0.13245870309713,0.309096208294372,0.0516490866758883,0.463019877023663,0.0916930705103246,0.0675271686771649,0.18497312088619,6,"1982-06"
1982-07-31,0.376665423978818,0.351104617236704,0.135971386972018,0.290717514884788,0.100148774183817,0.015227638727736,0.219183193911807,7,"1982-07"
1982-08-31,0.194890680612497,0.280701984354835,0.0440328454420382,0.190652360949758,0.0503316690394436,0.0110270840958558,0.134331666397441,8,"1982-08"
1982-09-30,0.303290068006593,0.216737039397076,0.00872822055473805,0.41318711051832,0.0634619562272578,0.0279581373571876,0.177995099593449,9,"1982-09"
1982-10-31,0.257404033296014,0.108029732958035,0.13288798439704,0.330231904743758,0.104682958950019,0.117709907811044,0.173195126394461,10,"1982-10"
1982-11-30,0.275687668138247,0.00228875500907453,0.102298398442641,0.358924724652982,0.169069739744264,0.226634608885147,0.188631249975209,11,"1982-11"
1982-12-31,0.252822730556391,0.00832601706347784,0.0569721799054287,0.31089668039441,0.22693239576146,0.371363559680741,0.20709007340557,12,"1982-12"
1983-01-31,0.120649625201387,0.124854236357356,0.00321143913983225,0.446155060097054,0.353838941338572,0.422496709377428,0.251296307542077,1,"1983-01"
1983-02-28,0.134097142804663,0.161988064314449,0.00411198704100033,0.41135353807369,0.349541996858693,0.38756043460714,0.249641617730234,2,"1983-02"
1983-03-31,0.00974434209766164,0.248414939058725,0.0333881531326406,0.29502909111284,0.25639564703522,0.356627248127834,0.201924496296319,3,"1983-03"
1983-04-30,0.00288520823287378,0.300554692118027,0.00534555683673959,0.44371269065998,0.229697034137593,0.391260909007585,0.227631630569763,4,"1983-04"
1983-05-31,0.00108464290058657,0.605096744802566,0.00281641180975445,0.367866653392233,0.0985021352059454,0.231555245917123,0.218590077679674,5,"1983-05"
1983-06-30,0.00370106317821692,0.645822303038114,0.0114952426320964,0.310397256127524,0.068392462726295,0.0580993203012042,0.18713632307302,6,"1983-06"
1983-07-31,0.101694392231143,0.483616556481552,0.00896114262400396,0.158184143635597,0.0231836588371519,0.0556061258489186,0.144429406466376,7,"1983-07"
1983-08-31,0.169982463807149,0.382139943794968,0.0262862618277424,0.323315412378768,0.0426831067142462,0.0353120322483047,0.166883250428585,8,"1983-08"
1983-09-30,0.119139011079877,0.433355824513925,0.0546291873455756,0.327690282090104,0.218333137266177,0.0470048651318654,0.210421110315574,9,"1983-09"
1983-10-31,0.165584503239555,0.475328645122607,0.0136562455185653,0.335156240348573,0.341197667474764,0.0501060004793924,0.251328817866437,10,"1983-10"
